a,Name,zipcode,year,Value
181,MUSWELLBROOK,2333,2019,71.76712328767124
182,MUSWELLBROOK NW,2333,2019,67.50139275766017
183,NEWCASTLE,2302,2019,70.83287671232877
184,OAKDALE,2570,2019,113.22160664819944
185,PROSPECT,2148,2019,88.85205479452055
186,RANDWICK,2034,2019,68.62191780821918
187,RICHMOND,2753,2019,102.1510989010989
188,ROZELLE,2039,2019,70.90358126721763
189,SINGLETON,2330,2019,63.28493150684932
190,SINGLETON NW,2330,2019,69.30446927374301
191,SINGLETON SOUTH,2330,2019,61.34903047091413
192,ST MARYS,2759,2019,52.23561643835617
193,STOCKTON,2295,2019,87.64657534246575
194,TAMWORTH,2340,2019,77.24242424242425
195,WALLSEND,2287,2019,63.98066298342541
196,WARKWORTH,2330,2019,66.71666666666667
197,WOLLONGONG,2500,2019,62.98082191780822
198,WYBONG,2333,2019,56.961643835616435
199,WYONG,2259,2019,64.93956043956044
